"Package","Version"
"abind","1.4-8"
"alabaster.base","1.10.0"
"alabaster.matrix","1.10.0"
"alabaster.ranges","1.10.0"
"alabaster.schemas","1.10.0"
"alabaster.se","1.10.0"
"AnnotationDbi","1.72.0"
"ape","5.8-1"
"aplot","0.3.1"
"askpass","1.2.1"
"assertthat","0.2.1"
"assorthead","1.4.0"
"babelgene","22.9"
"backports","1.5.1"
"base64enc","0.1-6"
"bcellViper","1.46.0"
"beachmat","2.26.0"
"beeswarm","0.4.0"
"BH","1.90.0-1"
"Biobase","2.70.0"
"BiocBaseUtils","1.12.0"
"BiocFileCache","3.0.0"
"BiocGenerics","0.56.0"
"BiocIO","1.20.0"
"BiocManager","1.30.27"
"BiocNeighbors","2.4.0"
"BiocParallel","1.44.0"
"BiocSingular","1.26.1"
"BiocVersion","3.22.0"
"Biostrings","2.78.0"
"bit","4.6.0"
"bit64","4.8.2"
"bitops","1.0-9"
"blob","1.3.0"
"bluster","1.20.0"
"brew","1.0-10"
"brio","1.1.5"
"broom","1.0.13"
"bsicons","0.1.2"
"bslib","0.11.0"
"cachem","1.1.0"
"Cairo","1.7-0"
"callr","3.7.6"
"car","3.1-5"
"carData","3.0-6"
"caTools","1.18.3"
"CellChat","2.2.0.9001"
"cellranger","1.1.0"
"cigarillo","1.0.0"
"circlize","0.4.18"
"cli","3.6.6"
"clipr","0.8.1"
"clue","0.3-68"
"clusterProfiler","4.18.4"
"coda","0.19-4.1"
"collapse","2.1.8"
"colorspace","2.1-3"
"commonmark","2.0.0"
"ComplexHeatmap","2.26.1"
"conflicted","1.2.0"
"corrplot","0.95"
"covr","3.6.5"
"cowplot","1.2.0"
"cpp11","0.5.5"
"crayon","1.5.3"
"credentials","2.0.3"
"crosstalk","1.2.2"
"curl","7.1.0"
"data.table","1.18.6.1"
"DBI","1.3.0"
"dbplyr","2.5.2"
"decoupleR","2.16.0"
"DelayedArray","0.36.1"
"DelayedMatrixStats","1.32.0"
"deldir","2.0-4"
"Deriv","4.3.5"
"desc","1.4.3"
"devtools","2.5.2"
"diffobj","0.3.9"
"digest","0.6.39"
"doBy","4.7.2"
"doParallel","1.0.17"
"dorothea","1.22.0"
"DOSE","4.4.0"
"dotCall64","1.2"
"downlit","0.4.5"
"dplyr","1.2.1"
"dqrng","0.4.1"
"DropletUtils","1.30.0"
"dtplyr","1.3.3"
"edgeR","4.8.2"
"ellipsis","0.3.3"
"enrichplot","1.30.5"
"evaluate","1.0.5"
"ExperimentHub","3.0.0"
"fansi","1.0.7"
"farver","2.1.2"
"fastDummies","1.7.6"
"fastmap","1.2.0"
"fastmatch","1.1-8"
"fgsea","1.36.2"
"filelock","1.0.3"
"fitdistrplus","1.2-6"
"FNN","1.1.4.1"
"fontawesome","0.5.3"
"fontBitstreamVera","0.1.1"
"fontLiberation","0.1.0"
"fontquiver","0.2.1"
"forcats","1.0.1"
"foreach","1.5.2"
"forecast","9.0.2"
"formatR","1.14"
"Formula","1.2-6"
"fracdiff","1.5-4"
"fs","2.1.0"
"futile.logger","1.4.9"
"futile.options","1.0.1"
"future","1.70.0"
"future.apply","1.20.2"
"gargle","1.6.1"
"gdtools","0.5.1"
"generics","0.1.4"
"GenomeInfoDb","1.46.2"
"GenomicAlignments","1.46.0"
"GenomicRanges","1.62.1"
"gert","2.4.1"
"GetoptLong","1.1.1"
"gg.gap","1.3"
"ggalluvial","0.12.6"
"ggbeeswarm","0.7.3"
"ggforce","0.5.0"
"ggfun","0.2.1"
"ggiraph","0.9.6"
"ggnetwork","0.5.14"
"ggnewscale","0.5.2"
"ggplot2","4.0.3"
"ggplotify","0.1.3"
"ggpubr","1.0.0"
"ggrastr","1.0.2"
"ggrepel","0.9.8"
"ggridges","0.5.7"
"ggsci","5.0.0"
"ggsignif","0.6.4"
"ggtangle","0.1.2"
"ggtree","4.0.5"
"gh","1.6.1"
"git2r","0.36.2"
"gitcreds","0.1.2"
"GlobalOptions","0.1.4"
"globals","0.19.1"
"glue","1.8.1"
"GO.db","3.22.0"
"goftest","1.2-3"
"googledrive","2.1.2"
"googlesheets4","1.1.2"
"GOSemSim","2.36.0"
"gplots","3.3.0"
"gridBase","0.4-7"
