Pathway,Gene
Fibrosis_ECM,Col1a1
Fibrosis_ECM,Col1a2
Fibrosis_ECM,Col3a1
Fibrosis_ECM,Postn
Fibrosis_ECM,Fn1
Fibrosis_ECM,Ccn2
Fibrosis_ECM,Lox
Fibrosis_ECM,Timp1
Fibrosis_ECM,Thbs1
Fibrosis_ECM,Sparc
TGFb_Response,Tgfb1
TGFb_Response,Tgfbr1
TGFb_Response,Tgfbr2
TGFb_Response,Smad2
TGFb_Response,Smad3
TGFb_Response,Smad7
TGFb_Response,Serpine1
TGFb_Response,Ccn2
TGFb_Response,Thbs1
TGFb_Response,Timp1
NFkB_Inflammation,Nfkb1
NFkB_Inflammation,Rela
NFkB_Inflammation,Nfkbia
NFkB_Inflammation,Tnf
NFkB_Inflammation,Il1b
NFkB_Inflammation,Il6
NFkB_Inflammation,Ccl2
NFkB_Inflammation,Cxcl2
NFkB_Inflammation,Icam1
Nrf2_Antioxidant,Nfe2l2
Nrf2_Antioxidant,Keap1
Nrf2_Antioxidant,Hmox1
Nrf2_Antioxidant,Nqo1
Nrf2_Antioxidant,Gclc
Nrf2_Antioxidant,Gclm
Nrf2_Antioxidant,Txnrd1
Nrf2_Antioxidant,Srxn1
Nrf2_Antioxidant,Gsta1
Nrf2_Antioxidant,Gstm1
Hypoxia_HIF,Hif1a
Hypoxia_HIF,Egln1
Hypoxia_HIF,Egln3
Hypoxia_HIF,Vegfa
Hypoxia_HIF,Slc2a1
Hypoxia_HIF,Pdk1
Hypoxia_HIF,Ldha
Hypoxia_HIF,Bnip3
Hypoxia_HIF,Ndrg1
Hypoxia_HIF,Adm
Mitochondrial_OXPHOS,Ndufs1
Mitochondrial_OXPHOS,Ndufs2
Mitochondrial_OXPHOS,Sdha
Mitochondrial_OXPHOS,Sdhb
Mitochondrial_OXPHOS,Uqcrc1
Mitochondrial_OXPHOS,Uqcrc2
Mitochondrial_OXPHOS,Cox4i1
Mitochondrial_OXPHOS,Cox5a
Fatty_Acid_Oxidation,Ppara
Fatty_Acid_Oxidation,Ppargc1a
Fatty_Acid_Oxidation,Cpt1a
Fatty_Acid_Oxidation,Cpt1b
Fatty_Acid_Oxidation,Cpt2
Fatty_Acid_Oxidation,Acadm
Fatty_Acid_Oxidation,Acadvl
Fatty_Acid_Oxidation,Hadha
Fatty_Acid_Oxidation,Hadhb
Fatty_Acid_Oxidation,Cd36
Lipid_Peroxidation_Ferroptosis,Acsl4
Lipid_Peroxidation_Ferroptosis,Lpcat3
Lipid_Peroxidation_Ferroptosis,Slc7a11
Lipid_Peroxidation_Ferroptosis,Gpx4
Lipid_Peroxidation_Ferroptosis,Fth1
Lipid_Peroxidation_Ferroptosis,Ftl1
Lipid_Peroxidation_Ferroptosis,Hmox1
Lipid_Peroxidation_Ferroptosis,Ncoa4
