AA_Arm,Gene
AA_Liberation,Pla2g4a
AA_Liberation,Pla2g4b
AA_Liberation,Pla2g4c
AA_Liberation,Pla2g6
AA_Liberation,Pla2g5
CYP_Epoxygenase,Cyp2j5
CYP_Epoxygenase,Cyp2j6
CYP_Epoxygenase,Cyp2j8
CYP_Epoxygenase,Cyp2j9
CYP_Epoxygenase,Cyp2j11
CYP_Epoxygenase,Cyp2j12
CYP_Epoxygenase,Cyp2c29
CYP_Epoxygenase,Cyp2c37
CYP_Epoxygenase,Cyp2c38
CYP_Epoxygenase,Cyp2c39
CYP_Epoxygenase,Cyp2c40
CYP_Epoxygenase,Cyp2c44
CYP_Epoxygenase,Cyp2c50
CYP_Epoxygenase,Cyp2c54
CYP_Epoxygenase,Cyp2c55
CYP_Epoxygenase,Cyp2c65
CYP_Epoxygenase,Cyp2c66
CYP_Epoxygenase,Cyp2c67
CYP_Epoxygenase,Cyp2c68
CYP_Epoxygenase,Cyp2c69
CYP_Epoxygenase,Cyp2c70
Epoxide_Hydrolysis,Ephx1
Epoxide_Hydrolysis,Ephx2
CYP_Omega_Hydroxylase,Cyp4a10
CYP_Omega_Hydroxylase,Cyp4a12a
CYP_Omega_Hydroxylase,Cyp4a12b
CYP_Omega_Hydroxylase,Cyp4a14
CYP_Omega_Hydroxylase,Cyp4f13
CYP_Omega_Hydroxylase,Cyp4f14
CYP_Omega_Hydroxylase,Cyp4f15
CYP_Omega_Hydroxylase,Cyp4f16
CYP_Omega_Hydroxylase,Cyp4f17
CYP_Omega_Hydroxylase,Cyp4f18
CYP_Omega_Hydroxylase,Cyp4f39
COX_Arm,Ptgs1
COX_Arm,Ptgs2
COX_Arm,Ptges
COX_Arm,Ptges2
COX_Arm,Ptges3
COX_Arm,Ptgis
COX_Arm,Tbxas1
LOX_Arm,Alox5
LOX_Arm,Alox5ap
LOX_Arm,Alox12
LOX_Arm,Alox15
LOX_Arm,Alox15b
Eicosanoid_Receptors,Ptger1
Eicosanoid_Receptors,Ptger2
Eicosanoid_Receptors,Ptger3
Eicosanoid_Receptors,Ptger4
Eicosanoid_Receptors,Ptgdr
Eicosanoid_Receptors,Ptgdr2
Eicosanoid_Receptors,Tbxa2r
Eicosanoid_Receptors,Ltb4r1
Eicosanoid_Receptors,Ltb4r2
Eicosanoid_Receptors,Cysltr1
Eicosanoid_Receptors,Cysltr2
