"Condition","Cell_type","n_cells","total_cells","Percent"
"Sham","Cardiomyocytes",107,7578,1.41198205331222
"2W","Cardiomyocytes",74,6051,1.22293835729631
"4W","Cardiomyocytes",22,6374,0.345152180734233
"6W","Cardiomyocytes",11,5183,0.212232297896971
"Sham","Fibroblasts",4146,7578,54.7110055423595
"2W","Fibroblasts",3023,6051,49.9586845149562
"4W","Fibroblasts",418,6374,6.55789143395042
"6W","Fibroblasts",2697,5183,52.0355006752846
"Sham","Endothelial cells",522,7578,6.88836104513064
"2W","Endothelial cells",599,6051,9.89919021649314
"4W","Endothelial cells",521,6374,8.17383118920615
"6W","Endothelial cells",205,5183,3.955238278989
"Sham","Pericytes",30,7578,0.395882818685669
"2W","Pericytes",28,6051,0.462733432490497
"4W","Pericytes",0,6374,0
"6W","Pericytes",0,5183,0
"Sham","Smooth muscle cells",61,7578,0.804961731327527
"2W","Smooth muscle cells",70,6051,1.15683358122624
"4W","Smooth muscle cells",9,6374,0.141198619391277
"6W","Smooth muscle cells",19,5183,0.366583060003859
"Sham","Macrophages",1584,7578,20.9026128266033
"2W","Macrophages",1535,6051,25.3677078168898
"4W","Macrophages",184,6374,2.88672732977722
"6W","Macrophages",894,5183,17.2486976654447
"Sham","Monocytes",45,7578,0.593824228028504
"2W","Monocytes",66,6051,1.09072880515617
"4W","Monocytes",198,6374,3.1063696266081
"6W","Monocytes",27,5183,0.520933822110747
"Sham","Myeloid cells",159,7578,2.09817893903405
"2W","Myeloid cells",121,6051,1.99966947611965
"4W","Myeloid cells",63,6374,0.988390335738939
"6W","Myeloid cells",36,5183,0.694578429480996
"Sham","Dendritic cells",95,7578,1.25362892583795
"2W","Dendritic cells",93,6051,1.53693604362915
"4W","Dendritic cells",31,6374,0.48635080012551
"6W","Dendritic cells",65,5183,1.25409994211846
"Sham","Neutrophils",145,7578,1.9134336236474
"2W","Neutrophils",72,6051,1.18988596926128
"4W","Neutrophils",1228,6374,19.2657671791654
"6W","Neutrophils",188,5183,3.62724290951187
"Sham","T cells",164,7578,2.16415940881499
"2W","T cells",140,6051,2.31366716245249
"4W","T cells",420,6374,6.58926890492626
"6W","T cells",89,5183,1.71715222843913
"Sham","NK cells",154,7578,2.0321984692531
"2W","NK cells",33,6051,0.545364402578086
"4W","NK cells",339,6374,5.31848133040477
"6W","NK cells",31,5183,0.598109203164191
"Sham","B cells",235,7578,3.10108207970441
"2W","B cells",156,6051,2.57808626673277
"4W","B cells",2294,6374,35.9899592092877
"6W","B cells",905,5183,17.4609299633417
"Sham","Platelets",54,7578,0.712589073634204
"2W","Platelets",10,6051,0.165261940175178
"4W","Platelets",583,6374,9.14653278945717
"6W","Platelets",13,5183,0.250819988423693
"Sham","Erythroid cells",77,7578,1.01609923462655
"2W","Erythroid cells",31,6051,0.512312014543051
"4W","Erythroid cells",64,6374,1.00407907122686
"6W","Erythroid cells",3,5183,0.057881535790083
