"Condition","Gene","Total_Cells","Cells_Expressing","Percent_Expressing","Mean_Expression","Mean_Expression_Among_Expressing","Condition_plot"
"Sham","Cyp1b1",7578,1686,22.2486144101346,0.216802798799278,0.974455284282875,"Sham"
"2W","Cyp1b1",6051,1549,25.599074533135,0.245706803012495,0.959826898017179,"2W"
"4W","Cyp1b1",6374,228,3.57703169124569,0.0339276686513014,0.948486666593837,"4W"
"6W","Cyp1b1",5183,656,12.6567624927648,0.151304878543434,1.19544692910155,"6W"
"Sham","Cyp2j6",7578,832,10.9791501715492,0.0789137047200964,0.71875968073184,"Sham"
"2W","Cyp2j6",6051,868,14.3447364072054,0.0965868022309607,0.673325737672284,"2W"
"4W","Cyp2j6",6374,177,2.77690618136178,0.0186473001167903,0.671513508160572,"4W"
"6W","Cyp2j6",5183,218,4.2060582674127,0.0407666620684421,0.969236740829062,"6W"
"Sham","Cyp2j9",7578,208,2.74478754288731,0.0200246197601511,0.729550810300119,"Sham"
"2W","Cyp2j9",6051,263,4.34638902660717,0.0269970217280019,0.621136800289504,"2W"
"4W","Cyp2j9",6374,75,1.17665516159398,0.00744337953593035,0.632588015493601,"4W"
"6W","Cyp2j9",5183,79,1.52421377580552,0.0152451327153754,1.00019649194672,"6W"
"Sham","Cyp4f13",7578,686,9.05252045394563,0.0686432835941498,0.758278138595433,"Sham"
"2W","Cyp4f13",6051,711,11.7501239464551,0.0823445639883708,0.700797407445333,"2W"
"4W","Cyp4f13",6374,380,5.96171948540948,0.060206381983352,1.00988283884707,"4W"
"6W","Cyp4f13",5183,246,4.7462859347868,0.0560221457316835,1.18033650946063,"6W"
"Sham","Cyp4f16",7578,421,5.55555555555556,0.0402579078240627,0.724642340833129,"Sham"
"2W","Cyp4f16",6051,459,7.58552305404065,0.0510519621706682,0.673018350968874,"2W"
"4W","Cyp4f16",6374,202,3.16912456855977,0.0262646416018413,0.828766463218496,"4W"
"6W","Cyp4f16",5183,201,3.87806289793556,0.038756965815368,0.999389820005237,"6W"
"Sham","Cyp4f17",7578,89,1.17445236210082,0.00786535037481117,0.669703653262012,"Sham"
"2W","Cyp4f17",6051,119,1.96661708808461,0.0132937018479605,0.675967982201755,"2W"
"4W","Cyp4f17",6374,44,0.690304361468466,0.00499647350208299,0.723807320506294,"4W"
"6W","Cyp4f17",5183,64,1.2348060968551,0.0124138918888657,1.00533127593736,"6W"
"Sham","Cyp4f18",7578,690,9.10530482977039,0.116850777749566,1.28332636780611,"Sham"
"2W","Cyp4f18",6051,655,10.8246570814741,0.122638175627774,1.13295206217352,"2W"
"4W","Cyp4f18",6374,1830,28.710385942893,0.4562907438814,1.58928808825139,"4W"
"6W","Cyp4f18",5183,414,7.98765193903145,0.149421551558579,1.87065676745921,"6W"
"Sham","Ephx2",7578,235,3.10108207970441,0.0355119610552891,1.14514740798715,"Sham"
"2W","Ephx2",6051,212,3.50355313171377,0.0339953573375167,0.970310883251478,"2W"
"4W","Ephx2",6374,53,0.831502980859743,0.0064265657579254,0.772885474358802,"4W"
"6W","Ephx2",5183,12,0.231526143160332,0.00253317390867141,1.09412003072033,"6W"
