"Condition","Program","Spots","Mean_Score","Median_Score","SD_Score","Q25","Q75"
"Sham","B cells",1657,0.00308507723069133,0,0.0100578235025801,0,0
"2W","B cells",2040,0.00248941422625851,0,0.00783576009180084,0,0
"4W","B cells",1212,0.00483997317738116,0,0.0131853941260785,0,0
"6W","B cells",2170,0.00419490913228396,0,0.011406251451438,0,0
"Sham","Cardiomyocytes",1657,1.37298753106147,1.3797225230249,0.0829602089235454,1.3232607010184,1.43013286636321
"2W","Cardiomyocytes",2040,1.47989830394587,1.48150952680575,0.0528965357449773,1.44670632093122,1.51523973390224
"4W","Cardiomyocytes",1212,1.53501521003509,1.53520653388126,0.0592162426398604,1.49417889495259,1.57375805877218
"6W","Cardiomyocytes",2170,1.52774199558804,1.53515966244639,0.0657500796540552,1.48923124521013,1.5712365014802
"Sham","Dendritic cells",1657,0.00458373120480535,0,0.0120097306300474,0,0
"2W","Dendritic cells",2040,0.00485463635723519,0,0.0107385712255712,0,0.00896628004023845
"4W","Dendritic cells",1212,0.00382879554323281,0,0.00828666042357121,0,0.00687428193297809
"6W","Dendritic cells",2170,0.00324135184657957,0,0.0088166262404811,0,0
"Sham","Endothelial cells",1657,0.206616947475906,0.210325329654941,0.0843822331412818,0.154583911343423,0.262839113469431
"2W","Endothelial cells",2040,0.208643159123197,0.206327417560053,0.0540823014613786,0.171962082704676,0.243725222225347
"4W","Endothelial cells",1212,0.251919255928089,0.250885261384585,0.0674902687924966,0.209719691868127,0.293007558197592
"6W","Endothelial cells",2170,0.26240831584748,0.265553599280018,0.0848936032858015,0.211526607301933,0.319712158582634
"Sham","Erythroid cells",1657,0.450194972990961,0.401841138661664,0.162934267833906,0.325246461703422,0.547422032319166
"2W","Erythroid cells",2040,0.488478070552223,0.448050355010938,0.150829175410844,0.375772295104915,0.569784789343814
"4W","Erythroid cells",1212,0.3211575211328,0.296988506439139,0.118147934673704,0.234701524888698,0.383497236377184
"6W","Erythroid cells",2170,0.402575172775173,0.37827603069673,0.135367817617672,0.305301204851096,0.47061898498475
