"Spatial_Object","Condition","Gene","Spots","Percent_Expressing","Mean_Expression","Median_Expression","Expression_Variance","Predictors_Used","R2","Adjusted_R2","Unexplained_Fraction"
"Sham","Sham","Cyp1b1",1657,4.82800241400121,0.0242385946756606,0,0.0154751977744254,15,0.0114093400891106,0.00237286239339873,0.988590659910889
"TAC_2W","2W","Cyp1b1",2040,9.95098039215686,0.0390648012736035,0,0.015951950508238,15,0.0381159502408692,0.0309873629155794,0.961884049759131
"TAC_4W","4W","Cyp1b1",1212,25.9075907590759,0.104429838175223,0,0.0411699762557534,15,0.0513360827438138,0.03943812391535,0.948663917256186
"TAC_6W","6W","Cyp1b1",2170,10.36866359447,0.0399829605786294,0,0.018713482326488,15,0.0247736405050079,0.0179823705920902,0.975226359494992
"Sham","Sham","Cyp2j6",1657,6.3971031985516,0.0303947908569902,0,0.0165451427514601,15,0.015994123898616,0.00699955464723223,0.984005876101384
"TAC_2W","2W","Cyp2j6",2040,9.90196078431373,0.0368948020077077,0,0.0140484364299483,15,0.00638270944092213,-0.000981055064209313,0.993617290559078
"TAC_4W","4W","Cyp2j6",1212,14.2739273927393,0.0511271287925663,0,0.0201748866142829,15,0.0109464859826497,-0.00145803133362143,0.98905351401735
"TAC_6W","6W","Cyp2j6",2170,12.7649769585253,0.0497919553155634,0,0.0251944684379741,15,0.0183436704460166,0.0115076235828274,0.981656329553983
"Sham","Sham","Cyp2j9",1657,1.44840072420036,0.00609473871471921,0,0.00282467081839379,15,0.00981528476888625,0.000764236183592781,0.990184715231114
"TAC_2W","2W","Cyp2j9",2040,2.54901960784314,0.00871263870552131,0,0.00301282346779682,15,0.00851392095712555,0.00116595100374461,0.991486079042874
"TAC_4W","4W","Cyp2j9",1212,4.12541254125412,0.0129559179325226,0,0.00462993922564012,15,0.0199797443148895,0.00768852037235057,0.980020255685111
"TAC_6W","6W","Cyp2j9",2170,3.59447004608295,0.0120906865278667,0,0.00498578662199454,15,0.00767276979678209,0.000762413040492405,0.992327230203218
"Sham","Sham","Cyp4f13",1657,6.51780325890163,0.0308968077434237,0,0.0164815719175829,15,0.0141685718896589,0.00515731569120959,0.985831428110341
"TAC_2W","2W","Cyp4f13",2040,7.84313725490196,0.0293072289331223,0,0.0112820894179901,15,0.00619094161145759,-0.00117424409794364,0.993809058388542
"TAC_4W","4W","Cyp4f13",1212,14.4389438943894,0.047800983411855,0,0.0167072016393592,15,0.00562573555661674,-0.00684551357937879,0.994374264443383
"TAC_6W","6W","Cyp4f13",2170,11.6589861751152,0.0407498768381779,0,0.0167536305554526,15,0.0131238092438093,0.00625141237224813,0.986876190756191
"Sham","Sham","Cyp4f16",1657,3.01750150875075,0.0144617764850649,0,0.0088060391597086,15,0.0105296878926538,0.00148516950044775,0.989470312107346
"TAC_2W","2W","Cyp4f16",2040,5.58823529411765,0.0205247522141289,0,0.00785913448688146,15,0.00992470644166385,0.00258719191430479,0.990075293558336
"TAC_4W","4W","Cyp4f16",1212,7.59075907590759,0.0245796483157351,0,0.0092772031249757,15,0.0114352584876795,-0.000963128738645569,0.98856474151232
"TAC_6W","6W","Cyp4f16",2170,6.58986175115207,0.0247188773427102,0,0.0128612552144061,15,0.0107558384970237,0.00386695157847938,0.989244161502976
"Sham","Sham","Cyp4f17",1657,2.59505129752565,0.0119288435632171,0,0.00737731010464457,15,0.0123151468077116,0.0032869488809083,0.987684853192288
"TAC_2W","2W","Cyp4f17",2040,2.40196078431373,0.00911769487697482,0,0.00370412169742491,15,0.00588637565041973,-0.00148106721778363,0.99411362434958
"TAC_4W","4W","Cyp4f17",1212,2.80528052805281,0.00912133719361052,0,0.00349111216619067,15,0.0132952342145015,0.000920174442944344,0.986704765785498
"TAC_6W","6W","Cyp4f17",2170,2.90322580645161,0.0112946509695809,0,0.00630354089571066,15,0.0126311439752151,0.00575531628702042,0.987368856024785
"Sham","Sham","Cyp4f18",1657,1.75015087507544,0.00922351125249486,0,0.0064335375196165,15,0.0079126955393476,-0.00115574417235864,0.992087304460652
"TAC_2W","2W","Cyp4f18",2040,2.15686274509804,0.00797017530221686,0,0.00318727732615305,15,0.0150214423472297,0.00772170007213513,0.98497855765277
"TAC_4W","4W","Cyp4f18",1212,8.82838283828383,0.0291873334171595,0,0.0105059131671045,15,0.0404250410692385,0.0283902380726153,0.959574958930762
"TAC_6W","6W","Cyp4f18",2170,3.13364055299539,0.0120094825131525,0,0.0061047259388761,15,0.01000971429918,0.00311563152967587,0.98999028570082
"Sham","Sham","Ephx2",1657,71.1526855763428,0.624592371020636,0.677855839837686,0.242301936078099,15,0.0337543385553519,0.0249221113026586,0.966245661444648
"TAC_2W","2W","Ephx2",2040,95.2450980392157,0.9283492295187,0.966488548789677,0.134350004560296,15,0.0209603832289596,0.0137046548437988,0.97903961677104
"TAC_4W","4W","Ephx2",1212,97.3597359735974,1.30996277034762,1.35868521320014,0.144444995469953,15,0.031706855844902,0.0195627110603481,0.968293144155098
"TAC_6W","6W","Ephx2",2170,78.1566820276498,0.668753110786967,0.723231877571623,0.200255046459642,15,0.037974878203311,0.0312755389150332,0.962025121796689
