"Condition","AA_Arm","Mean_Score","Median_Score","SD_Score","Spots"
"Sham","AA_Liberation",0.0182670120360382,0,0.0454802801326257,1657
"2W","AA_Liberation",0.02871385143142,0,0.0459032136821497,2040
"4W","AA_Liberation",0.0193948187246458,0,0.0403437383272014,1212
"6W","AA_Liberation",0.0188544967849077,0,0.0424976525666066,2170
"Sham","COX_Arm",0.0912875906641047,0.0872534823012291,0.084082791352796,1657
"2W","COX_Arm",0.101556791336858,0.0968261116823728,0.0680138967065193,2040
"4W","COX_Arm",0.112471474498395,0.108734669386474,0.0729015511168226,1212
"6W","COX_Arm",0.12625898245188,0.128345159043534,0.0917422307900545,2170
"Sham","CYP_Epoxygenase",0.00182447647858547,0,0.00692800940257784,1657
"2W","CYP_Epoxygenase",0.00228771608868851,0,0.00648509235009654,2040
"4W","CYP_Epoxygenase",0.00322308401315629,0,0.00792193574162829,1212
"6W","CYP_Epoxygenase",0.00309413209217151,0,0.0086418209921633,2170
"Sham","CYP_Omega_Hydroxylase",0.00612410283531719,0,0.0183510726766169,1657
"2W","CYP_Omega_Hydroxylase",0.00614549564826236,0,0.0143978968730562,2040
"4W","CYP_Omega_Hydroxylase",0.0102070617443869,0,0.0186948944183935,1212
"6W","CYP_Omega_Hydroxylase",0.00811050432165078,0,0.0184832352759124,2170
"Sham","Eicosanoid_Receptors",0.00511511703485582,0,0.0166713211756344,1657
"2W","Eicosanoid_Receptors",0.00450122078717844,0,0.0124875503950042,2040
"4W","Eicosanoid_Receptors",0.00572564160402313,0,0.014387990845977,1212
"6W","Eicosanoid_Receptors",0.00782796230830298,0,0.0184497624531822,2170
"Sham","Epoxide_Hydrolysis",0.405321576714697,0.429237091110039,0.298417010947374,1657
"2W","Epoxide_Hydrolysis",0.551916927021424,0.562429162803984,0.218720334208409,2040
"4W","Epoxide_Hydrolysis",0.849594911381782,0.860454485381993,0.255279955203105,1212
"6W","Epoxide_Hydrolysis",0.466949357327116,0.502801861941066,0.280614187102226,2170
"Sham","LOX_Arm",0.0228807277522341,0,0.0517048875047207,1657
"2W","LOX_Arm",0.0379559492979512,0,0.0526661349765574,2040
"4W","LOX_Arm",0.0464178618647433,0,0.0598297951593423,1212
"6W","LOX_Arm",0.0302954813072034,0,0.0550341141336215,2170
