Condition,Gene,AA_Arm,Spearman_Rho,Spots
4W,Cyp1b1,AA_Liberation,0.0530585237795799,1212
4W,Cyp1b1,CYP_Epoxygenase,0.0126060760668012,1212
4W,Cyp1b1,Epoxide_Hydrolysis,0.040176387908558,1212
4W,Cyp1b1,CYP_Omega_Hydroxylase,0.0319842006783926,1212
4W,Cyp1b1,COX_Arm,0.106111460819452,1212
4W,Cyp1b1,LOX_Arm,0.0334553395855689,1212
4W,Cyp1b1,Eicosanoid_Receptors,0.0163614667378029,1212
4W,Cyp2j6,AA_Liberation,0.0031820642056071,1212
4W,Cyp2j6,CYP_Epoxygenase,0.877788505017005,1212
4W,Cyp2j6,Epoxide_Hydrolysis,0.0453444255815414,1212
4W,Cyp2j6,CYP_Omega_Hydroxylase,0.0037685015684534,1212
4W,Cyp2j6,COX_Arm,0.0264088709360786,1212
4W,Cyp2j6,LOX_Arm,-0.0112027731264019,1212
4W,Cyp2j6,Eicosanoid_Receptors,0.0017769814408328,1212
4W,Cyp2j9,AA_Liberation,0.0087181400797788,1212
4W,Cyp2j9,CYP_Epoxygenase,0.442581586935476,1212
4W,Cyp2j9,Epoxide_Hydrolysis,-0.0177546486608573,1212
4W,Cyp2j9,CYP_Omega_Hydroxylase,0.0364576863850011,1212
4W,Cyp2j9,COX_Arm,0.0554908583484106,1212
4W,Cyp2j9,LOX_Arm,0.0546899886158007,1212
4W,Cyp2j9,Eicosanoid_Receptors,0.0014358065281478,1212
4W,Cyp4f13,AA_Liberation,0.0077249963142084,1212
4W,Cyp4f13,CYP_Epoxygenase,-0.0129680751964805,1212
4W,Cyp4f13,Epoxide_Hydrolysis,0.0443958566644924,1212
4W,Cyp4f13,CYP_Omega_Hydroxylase,0.647404057373455,1212
4W,Cyp4f13,COX_Arm,0.0321489156917728,1212
4W,Cyp4f13,LOX_Arm,0.058956987212508,1212
4W,Cyp4f13,Eicosanoid_Receptors,0.0155165198581083,1212
4W,Cyp4f16,AA_Liberation,0.0205154604378197,1212
4W,Cyp4f16,CYP_Epoxygenase,0.0154557010622506,1212
4W,Cyp4f16,Epoxide_Hydrolysis,0.0012248667645033,1212
4W,Cyp4f16,CYP_Omega_Hydroxylase,0.454843311158965,1212
4W,Cyp4f16,COX_Arm,0.0185957109515981,1212
4W,Cyp4f16,LOX_Arm,-0.0199525832083809,1212
4W,Cyp4f16,Eicosanoid_Receptors,-0.0055923629135967,1212
4W,Cyp4f17,AA_Liberation,-0.0250267332587425,1212
4W,Cyp4f17,CYP_Epoxygenase,0.0575377243191807,1212
4W,Cyp4f17,Epoxide_Hydrolysis,-0.0003683731037865,1212
4W,Cyp4f17,CYP_Omega_Hydroxylase,0.270758775890416,1212
4W,Cyp4f17,COX_Arm,0.0519984535957255,1212
4W,Cyp4f17,LOX_Arm,0.0791705308415788,1212
4W,Cyp4f17,Eicosanoid_Receptors,0.012549787593974,1212
4W,Cyp4f18,AA_Liberation,0.0421129621998432,1212
4W,Cyp4f18,CYP_Epoxygenase,0.0164377911315848,1212
4W,Cyp4f18,Epoxide_Hydrolysis,0.0057125928793235,1212
4W,Cyp4f18,CYP_Omega_Hydroxylase,0.509527134067707,1212
4W,Cyp4f18,COX_Arm,0.0420043864980384,1212
4W,Cyp4f18,LOX_Arm,0.0950611086214067,1212
4W,Cyp4f18,Eicosanoid_Receptors,0.0736219573293997,1212
4W,Ephx2,AA_Liberation,0.005452573546765,1212
4W,Ephx2,CYP_Epoxygenase,0.0086256848777285,1212
4W,Ephx2,Epoxide_Hydrolysis,0.685353653997096,1212
4W,Ephx2,CYP_Omega_Hydroxylase,0.0274476171406786,1212
4W,Ephx2,COX_Arm,0.0246924369139766,1212
4W,Ephx2,LOX_Arm,0.0754791179840142,1212
4W,Ephx2,Eicosanoid_Receptors,-0.0193867224094371,1212
