Condition,Gene,Mechanism,Spearman_Rho,Spots
4W,Cyp1b1,Fibrosis_ECM,0.187113702916654,1212
4W,Cyp1b1,TGFb_Response,0.168373600734975,1212
4W,Cyp1b1,NFkB_Inflammation,0.0777624333998602,1212
4W,Cyp1b1,Nrf2_Antioxidant,0.0692681216553645,1212
4W,Cyp1b1,Hypoxia_HIF,0.0892330100928853,1212
4W,Cyp1b1,Mitochondrial_OXPHOS,-0.0527163126037775,1212
4W,Cyp1b1,Fatty_Acid_Oxidation,-0.0095982322482507,1212
4W,Cyp1b1,Lipid_Peroxidation_Ferroptosis,0.116292841684867,1212
4W,Cyp2j6,Fibrosis_ECM,0.0385732237974807,1212
4W,Cyp2j6,TGFb_Response,0.0446917949162936,1212
4W,Cyp2j6,NFkB_Inflammation,0.0570456179267119,1212
4W,Cyp2j6,Nrf2_Antioxidant,0.11697932758664,1212
4W,Cyp2j6,Hypoxia_HIF,0.0681226480472308,1212
4W,Cyp2j6,Mitochondrial_OXPHOS,0.0374163805735904,1212
4W,Cyp2j6,Fatty_Acid_Oxidation,0.0428833605699817,1212
4W,Cyp2j6,Lipid_Peroxidation_Ferroptosis,0.0870551193229248,1212
4W,Cyp2j9,Fibrosis_ECM,0.0541649505187598,1212
4W,Cyp2j9,TGFb_Response,0.0408509976011083,1212
4W,Cyp2j9,NFkB_Inflammation,-0.0072051041292183,1212
4W,Cyp2j9,Nrf2_Antioxidant,0.0456404587454521,1212
4W,Cyp2j9,Hypoxia_HIF,0.0016961069030575,1212
4W,Cyp2j9,Mitochondrial_OXPHOS,-0.0118844557957877,1212
4W,Cyp2j9,Fatty_Acid_Oxidation,0.0007556260221753,1212
4W,Cyp2j9,Lipid_Peroxidation_Ferroptosis,0.0370871075399015,1212
4W,Cyp4f13,Fibrosis_ECM,0.0596548864879506,1212
4W,Cyp4f13,TGFb_Response,0.035168375923398,1212
4W,Cyp4f13,NFkB_Inflammation,0.018234148259143,1212
4W,Cyp4f13,Nrf2_Antioxidant,0.0596860919232552,1212
4W,Cyp4f13,Hypoxia_HIF,0.0402155136749516,1212
4W,Cyp4f13,Mitochondrial_OXPHOS,0.0621852330900668,1212
4W,Cyp4f13,Fatty_Acid_Oxidation,0.0758339869414667,1212
4W,Cyp4f13,Lipid_Peroxidation_Ferroptosis,0.0618059432937411,1212
4W,Cyp4f16,Fibrosis_ECM,0.0505660999339886,1212
4W,Cyp4f16,TGFb_Response,0.0689463008897054,1212
4W,Cyp4f16,NFkB_Inflammation,0.0370978815820287,1212
4W,Cyp4f16,Nrf2_Antioxidant,-0.0081188515068915,1212
4W,Cyp4f16,Hypoxia_HIF,0.0238326464940809,1212
4W,Cyp4f16,Mitochondrial_OXPHOS,0.0186444378691945,1212
4W,Cyp4f16,Fatty_Acid_Oxidation,0.0061093083940351,1212
4W,Cyp4f16,Lipid_Peroxidation_Ferroptosis,0.024407745819307,1212
4W,Cyp4f17,Fibrosis_ECM,0.0410177310196057,1212
4W,Cyp4f17,TGFb_Response,0.0271972948648139,1212
4W,Cyp4f17,NFkB_Inflammation,0.0139840946861524,1212
4W,Cyp4f17,Nrf2_Antioxidant,0.0269775004506893,1212
4W,Cyp4f17,Hypoxia_HIF,0.0069995370255321,1212
4W,Cyp4f17,Mitochondrial_OXPHOS,0.0386710303013681,1212
4W,Cyp4f17,Fatty_Acid_Oxidation,0.0462079863536901,1212
4W,Cyp4f17,Lipid_Peroxidation_Ferroptosis,0.0700242123164776,1212
4W,Cyp4f18,Fibrosis_ECM,0.0429474038945727,1212
4W,Cyp4f18,TGFb_Response,-0.0045044119736381,1212
4W,Cyp4f18,NFkB_Inflammation,0.0582291987457264,1212
4W,Cyp4f18,Nrf2_Antioxidant,0.0639745001793742,1212
4W,Cyp4f18,Hypoxia_HIF,0.0229511986899954,1212
4W,Cyp4f18,Mitochondrial_OXPHOS,0.0415081613499803,1212
4W,Cyp4f18,Fatty_Acid_Oxidation,0.0384790480006392,1212
4W,Cyp4f18,Lipid_Peroxidation_Ferroptosis,0.0982940789495169,1212
4W,Ephx2,Fibrosis_ECM,-0.0404585981472883,1212
4W,Ephx2,TGFb_Response,-0.0234987167751227,1212
4W,Ephx2,NFkB_Inflammation,-0.0042763337893576,1212
4W,Ephx2,Nrf2_Antioxidant,0.127596129246551,1212
4W,Ephx2,Hypoxia_HIF,0.100598389571691,1212
4W,Ephx2,Mitochondrial_OXPHOS,0.167631151858651,1212
4W,Ephx2,Fatty_Acid_Oxidation,0.21087739265018,1212
4W,Ephx2,Lipid_Peroxidation_Ferroptosis,0.0444406783545774,1212
